,carat,depth,table,x,y,z,cut,color,clarity,city,x/y,td,ad
22,1.0,65.8,58.0,6.23,6.15,4.07,1.0,5.0,3.0,1.0561070349589987,1.0130081300813008,0.8814589665653496,0.006412722225273609
23,0.3,61.5,57.0,4.32,4.36,2.66,3.0,3.0,6.0,1.0360379801467414,0.9908256880733944,0.926829268292683,0.005987828899465788
24,2.02,62.8,55.0,8.06,8.11,5.08,3.0,4.0,2.0,1.0548122572291756,0.9938347718865599,0.8757961783439491,0.006083195321090442
25,0.5,61.4,57.8,5.09,5.14,3.15,3.0,1.0,5.0,1.0561070349589987,0.9902723735408561,0.9413680781758957,0.00606706362250536
26,0.36,62.3,57.0,4.58,4.54,2.84,5.0,3.0,3.0,1.0332326283987916,1.0088105726872247,0.9149277688603532,0.006096250859910052
27,0.42,62.0,55.0,4.83,4.78,2.98,5.0,4.0,5.0,1.0401381096245144,1.010460251046025,0.8870967741935484,0.00610461105691573
28,0.5,59.9,61.0,5.13,5.16,3.08,3.0,5.0,5.0,1.0017263703064307,0.9941860465116279,1.018363939899833,0.006132707071099563
29,0.4,62.0,55.0,4.74,4.68,2.92,4.0,6.0,3.0,1.0332326283987916,1.012820512820513,0.8870967741935484,0.00617522726071365
30,1.62,59.6,65.0,7.69,7.59,4.55,2.0,2.0,5.0,1.0017263703064307,1.013175230566535,1.0906040268456376,0.006100079600390563
31,0.3,62.4,59.0,4.28,4.25,2.66,4.0,7.0,2.0,1.0051791109192922,1.0070588235294118,0.9455128205128205,0.0062002174209575605
32,1.0,63.3,58.0,6.26,6.29,3.97,3.0,5.0,2.0,1.0017263703064307,0.9952305246422893,0.9162717219589258,0.006397120251876631
33,0.32,62.2,60.0,4.37,4.34,2.71,4.0,7.0,3.0,1.0699179974104445,1.0069124423963134,0.9646302250803858,0.0062260058005361284
34,0.27,62.3,54.0,4.18,4.21,2.61,3.0,7.0,7.0,1.0561070349589987,0.9928741092636579,0.8667736757624398,0.005878477756428018
35,0.71,62.1,58.0,5.64,5.72,3.53,3.0,5.0,3.0,1.0,0.986013986013986,0.9339774557165861,0.006234598784776593
36,1.5,64.9,61.0,7.14,7.09,4.62,1.0,2.0,2.0,1.0401381096245144,1.007052186177715,0.9399075500770415,0.0064136438008977155
37,0.9,64.0,61.0,6.0,5.96,3.83,2.0,1.0,3.0,1.048769961156668,1.0067114093959733,0.953125,0.0065712232989293285
38,0.71,60.5,59.0,5.81,5.79,3.51,4.0,7.0,3.0,1.0,1.003454231433506,0.9752066115702479,0.0060130738283764905
39,0.32,61.5,58.0,4.39,4.42,2.71,4.0,5.0,4.0,1.0388433318946915,0.9932126696832578,0.943089430894309,0.006085466806079641
40,0.23,62.4,59.0,3.91,3.94,2.45,3.0,6.0,6.0,1.0561070349589987,0.9923857868020305,0.9455128205128205,0.0060938080816082775
41,1.21,61.8,57.0,6.81,6.86,4.23,5.0,4.0,5.0,1.0548122572291756,0.9927113702623905,0.9223300970873787,0.006123134163365158
42,0.31,60.3,57.0,4.41,4.44,2.67,3.0,6.0,7.0,1.0561070349589987,0.9932432432432432,0.945273631840796,0.005929647449176609
43,0.61,60.1,60.3,5.47,5.5,3.29,2.0,3.0,5.0,1.0358221838584376,0.9945454545454545,1.0033277870216306,0.00616288297645021
44,1.31,62.0,53.0,7.06,7.07,4.37,5.0,4.0,5.0,1.0388433318946915,0.9985855728429985,0.8548387096774194,0.006005729172220629
45,0.7,61.4,64.0,5.66,5.71,3.49,2.0,6.0,3.0,1.0310746655157532,0.9912434325744308,1.0423452768729642,0.006206118640738731
46,0.38,60.7,56.0,4.69,4.74,2.86,5.0,7.0,4.0,1.0358221838584376,0.989451476793249,0.9225700164744646,0.00597676773758391
47,0.3,62.0,55.0,4.34,4.31,2.68,5.0,7.0,4.0,1.0358221838584376,1.0069605568445477,0.8870967741935484,0.005984384108731312
48,0.53,63.7,55.0,5.12,5.15,3.27,2.0,3.0,3.0,1.0310746655157532,0.9941747572815534,0.8634222919937206,0.0061468261037380114
49,0.77,62.2,57.0,5.81,5.86,3.63,3.0,3.0,5.0,1.0401381096245144,0.9914675767918087,0.9163987138263665,0.006230319976773368
50,0.34,61.1,56.0,4.52,4.55,2.77,5.0,5.0,3.0,1.0360379801467414,0.9934065934065933,0.9165302782324058,0.005968281742218678
51,1.01,61.8,59.0,6.41,6.37,3.95,4.0,3.0,3.0,1.0051791109192922,1.0062794348508635,0.9546925566343043,0.006262198305033725
52,0.71,59.6,60.0,5.8,5.85,3.47,3.0,6.0,4.0,1.0360379801467414,0.9914529914529915,1.006711409395973,0.006030384645111863
53,1.21,61.1,55.0,6.87,6.85,4.19,5.0,5.0,3.0,1.0561070349589987,1.0029197080291972,0.9001636661211129,0.006136546632010899
54,1.21,61.5,57.0,6.93,6.88,4.25,4.0,5.0,2.0,1.0401381096245144,1.007267441860465,0.926829268292683,0.005971380800382169
55,0.56,62.3,55.0,5.31,5.25,3.29,5.0,4.0,7.0,1.0358221838584376,1.0114285714285713,0.882825040128411,0.006105739967983027
56,1.58,61.0,58.0,7.56,7.49,4.59,4.0,1.0,6.0,1.048769961156668,1.0093457943925233,0.9508196721311475,0.006079121006504213
57,0.53,60.5,57.0,5.24,5.28,3.18,5.0,6.0,6.0,1.0561070349589987,0.9924242424242424,0.9421487603305785,0.006023980260621481
58,1.02,63.3,59.0,6.32,6.42,4.03,2.0,6.0,2.0,1.0017263703064307,0.9844236760124612,0.9320695102685624,0.0062379662292653655
59,0.58,63.0,56.0,5.35,5.28,3.35,5.0,7.0,6.0,1.0,1.0132575757575757,0.8888888888888888,0.006129082708800939
60,0.54,61.1,56.0,5.22,5.26,3.2,5.0,5.0,2.0,1.0017263703064307,0.9923954372623575,0.9165302782324058,0.006145928936672348
61,0.23,62.1,58.0,3.9,3.93,2.43,3.0,6.0,7.0,1.0401381096245144,0.9923664122137404,0.9339774557165861,0.006175390210825137
62,1.01,60.0,59.0,6.53,6.48,3.9,4.0,7.0,4.0,1.048769961156668,1.007716049382716,0.9833333333333333,0.006120241784696437
63,0.31,60.4,56.0,4.43,4.38,2.66,5.0,6.0,8.0,1.0051791109192922,1.0114155251141552,0.9271523178807948,0.006006233617997807
64,1.52,61.9,58.0,7.37,7.42,4.58,4.0,2.0,3.0,1.0332326283987916,0.9932614555256065,0.9369951534733442,0.006068854379005034
65,2.02,61.5,59.0,8.08,8.21,5.01,3.0,3.0,4.0,1.0358221838584376,0.9841656516443361,0.959349593495935,0.0060779780268938365
66,0.36,60.7,58.0,4.62,4.57,2.79,4.0,5.0,5.0,1.0358221838584376,1.0109409190371992,0.9555189456342669,0.006111391725847856
67,2.01,60.8,57.0,8.15,8.13,4.95,5.0,1.0,2.0,1.0051791109192922,1.002460024600246,0.9375,0.006128337914723263
68,1.01,59.1,59.0,6.5,6.59,3.87,3.0,3.0,5.0,1.0,0.9863429438543247,0.9983079526226734,0.006092725858403241
69,1.08,61.3,57.0,6.59,6.62,4.05,5.0,4.0,8.0,1.0051791109192922,0.9954682779456193,0.9298531810766721,0.0061125908674836155
70,0.33,61.4,58.0,4.46,4.5,2.75,3.0,2.0,3.0,1.0401381096245144,0.991111111111111,0.9446254071661238,0.005979073243647235
71,0.31,62.2,58.0,4.34,4.38,2.71,4.0,4.0,5.0,1.0310746655157532,0.9908675799086758,0.932475884244373,0.006017672701188851
72,0.4,61.1,61.0,4.76,4.7,2.89,4.0,4.0,3.0,1.0548122572291756,1.0127659574468084,0.9983633387888707,0.0061866755094881955
73,0.48,62.1,56.0,5.01,5.04,3.12,5.0,2.0,6.0,1.0388433318946915,0.994047619047619,0.9017713365539453,0.0060928204640779485
74,1.0,62.7,57.0,6.44,6.38,4.02,5.0,5.0,3.0,1.0561070349589987,1.0094043887147337,0.9090909090909091,0.006054348286217426
75,0.51,62.7,55.0,5.08,5.1,3.19,5.0,4.0,6.0,1.0017263703064307,0.9960784313725491,0.8771929824561403,0.0061708587367018
76,1.2,61.1,59.0,6.81,6.87,4.18,3.0,5.0,4.0,1.048769961156668,0.9912663755458515,0.9656301145662848,0.006136222733349121
77,1.51,63.3,56.0,7.3,7.26,4.61,3.0,6.0,4.0,1.0,1.0055096418732783,0.8846761453396524,0.006180399391324799
78,0.71,61.6,53.0,5.79,5.73,3.55,5.0,6.0,3.0,1.0548122572291756,1.0104712041884816,0.8603896103896104,0.006028327109085593
79,1.01,63.1,55.0,6.34,6.37,4.01,3.0,4.0,5.0,1.0358221838584376,0.9952904238618524,0.8716323296354992,0.0062366060394873
80,1.51,61.8,59.0,7.32,7.27,4.51,4.0,3.0,5.0,1.0332326283987916,1.0068775790921596,0.9546925566343043,0.00629151032263515
81,0.58,61.2,57.0,5.36,5.39,3.29,5.0,5.0,5.0,1.0401381096245144,0.9944341372912803,0.9313725490196078,0.006102089043871664
82,1.62,61.7,56.0,7.53,7.57,4.66,5.0,4.0,4.0,1.0401381096245144,0.9947159841479525,0.9076175040518638,0.0060987136435068316
83,1.02,62.8,59.0,6.44,6.39,4.03,4.0,6.0,4.0,1.0051791109192922,1.0078247261345854,0.9394904458598726,0.006150471354034951
84,0.34,61.8,56.0,4.47,4.49,2.77,5.0,5.0,6.0,1.0310746655157532,0.9955456570155901,0.9061488673139159,0.006115687474052173
85,1.51,63.7,61.0,7.15,7.11,4.54,2.0,2.0,3.0,1.0332326283987916,1.0056258790436006,0.9576138147566718,0.006542525920209519
86,0.34,61.9,56.0,4.47,4.51,2.78,5.0,6.0,7.0,1.0561070349589987,0.991130820399113,0.9046849757673667,0.006066665588941369
87,1.7,61.9,60.0,7.57,7.61,4.7,3.0,3.0,4.0,1.0358221838584376,0.9947437582128777,0.9693053311793215,0.006278711485783575
88,1.57,60.2,60.0,7.49,7.43,4.49,4.0,5.0,2.0,1.0388433318946915,1.0080753701211307,0.9966777408637874,0.006283225984150591
89,1.75,60.3,61.0,7.74,7.82,4.69,3.0,6.0,3.0,1.0561070349589987,0.989769820971867,1.0116086235489221,0.006164778715514597
90,1.13,61.8,57.0,6.71,6.68,4.14,5.0,5.0,2.0,1.0051791109192922,1.0044910179640718,0.9223300970873787,0.00608946473454094
91,0.41,61.7,56.0,4.8,4.77,2.95,5.0,4.0,8.0,1.0548122572291756,1.0062893081761006,0.9076175040518638,0.006070189153016143
92,0.34,62.1,54.0,4.48,4.5,2.79,5.0,4.0,8.0,1.0358221838584376,0.9955555555555556,0.8695652173913043,0.006044831313648517
93,0.31,61.2,56.0,4.39,4.37,2.68,5.0,5.0,6.0,1.0360379801467414,1.0045766590389016,0.9150326797385621,0.006029495044960972
94,2.4415390874009946,65.5,59.0,9.634300826443491,9.689423316357427,6.101990104334887,1.0,1.0,1.0,1.0017263703064307,0.9943110659825461,0.9007633587786259,0.004286215965186699
95,0.23,56.71551200438401,62.0,4.1,4.11,2.31,2.0,6.0,7.0,1.0,0.9975669099756689,1.093175355539548,0.005908676017274914
96,1.52,61.8,59.0,7.38,7.31,4.54,4.0,6.0,4.0,1.0051791109192922,1.009575923392613,0.9546925566343043,0.006206031795819987
97,2.04,62.8,57.0,8.09,8.02,5.06,5.0,2.0,3.0,1.0401381096245144,1.0087281795511223,0.9076433121019108,0.006213792702051552
98,1.65,62.0,56.0,7.53,7.59,4.68,3.0,3.0,5.0,1.0310746655157532,0.9920948616600791,0.9032258064516129,0.006168809217484084
99,0.3,63.1,58.0,4.28,4.24,2.69,3.0,4.0,5.0,1.0332326283987916,1.009433962264151,0.919175911251981,0.006145530085565443
100,0.67,60.4,65.0,5.67,5.65,3.42,2.0,6.0,5.0,1.0358221838584376,1.0035398230088495,1.076158940397351,0.006115291871471899
101,0.3,61.4,55.0,4.38,4.32,2.67,5.0,4.0,5.0,1.0699179974104445,1.0138888888888888,0.8957654723127036,0.0059381632928398095
102,0.34,61.9,56.0,4.49,4.46,2.77,4.0,3.0,4.0,1.0699179974104445,1.0067264573991033,0.9046849757673667,0.006129399777805652
103,0.27,61.8,56.0,4.15,4.17,2.57,5.0,3.0,4.0,1.0401381096245144,0.9952038369304558,0.9061488673139159,0.006070807879503907
104,0.5,61.5,54.0,5.13,5.15,3.16,5.0,2.0,3.0,1.0548122572291756,0.9961165048543689,0.8780487804878049,0.005989055360671693
105,0.51,61.7,58.0,5.12,5.15,3.17,4.0,6.0,4.0,1.0358221838584376,0.9941747572815534,0.940032414910859,0.006101459373372944
106,0.46,62.4,56.0,4.95,4.98,3.1,5.0,7.0,4.0,1.0332326283987916,0.9939759036144578,0.8974358974358975,0.006019516318777881
107,0.32,61.6,55.0,4.44,4.42,2.73,4.0,3.0,6.0,1.0310746655157532,1.0045248868778283,0.8928571428571428,0.005972856651589684
108,0.48,60.6,62.0,5.06,5.0,3.05,4.0,5.0,3.0,1.0051791109192922,1.012,1.023102310231023,0.006220436726495173
109,0.31,61.6,55.0,4.36,4.37,2.69,5.0,5.0,4.0,1.0358221838584376,0.9977116704805492,0.8928571428571428,0.006048413688395249
110,0.3,59.7,63.0,4.32,4.35,2.59,2.0,6.0,4.0,1.0,0.9931034482758622,1.0552763819095476,0.006163799267247545
111,0.43,61.0,58.0,4.92,4.89,2.99,4.0,4.0,5.0,1.0699179974104445,1.0061349693251533,0.9508196721311475,0.0059775512091251575
112,0.7,63.8,57.0,5.58,5.55,3.55,2.0,3.0,2.0,1.0,1.0054054054054054,0.8934169278996865,0.006367112228084514
113,0.5,61.3,57.0,5.13,5.15,3.15,5.0,6.0,4.0,1.0017263703064307,0.9961165048543689,0.9298531810766721,0.006008068234832556
114,0.6,65.7,55.0,5.31,5.23,3.46,1.0,4.0,3.0,1.0548122572291756,1.0152963671128106,0.837138508371385,0.006244230721078144
115,1.05,60.8,56.0,6.62,6.58,4.01,5.0,3.0,3.0,1.048769961156668,1.006079027355623,0.9210526315789475,0.006011198140792519
116,1.02,60.1,60.0,6.58,6.53,3.94,4.0,5.0,3.0,1.0561070349589987,1.007656967840735,0.9983361064891847,0.006025108541148975
117,2.28,62.9,57.0,8.41,8.34,5.27,5.0,2.0,2.0,1.0561070349589987,1.0083932853717026,0.9062003179650239,0.006168253095371436
118,0.27,59.5,56.0,4.2,4.31,2.53,3.0,6.0,4.0,1.0332326283987916,0.9744779582366591,0.9411764705882353,0.005895446226324871
119,2.0,62.0,57.0,8.03,8.1,5.0,5.0,5.0,2.0,1.0561070349589987,0.991358024691358,0.9193548387096774,0.0061497778392755565
120,0.5,64.6,58.0,5.01,4.99,3.23,1.0,5.0,4.0,1.0332326283987916,1.0040080160320641,0.8978328173374613,0.006191975232297213
121,0.5,62.0,58.0,5.03,5.1,3.14,4.0,5.0,5.0,1.0310746655157532,0.9862745098039217,0.9354838709677419,0.006207292277309044
122,0.45,61.7,63.0,4.88,4.91,3.02,2.0,6.0,5.0,1.0388433318946915,0.9938900203665987,1.0210696920583469,0.006218766590287315
123,0.26,60.1,60.0,4.1,4.15,2.48,4.0,6.0,5.0,1.0017263703064307,0.9879518072289155,0.9983361064891847,0.006161546263733138
124,0.3,58.8,57.0,4.44,4.4,2.6,4.0,7.0,3.0,1.0561070349589987,1.009090909090909,0.9693877551020409,0.0059062559062559045
125,0.61,59.7,59.0,5.54,5.47,3.29,5.0,1.0,4.0,1.0358221838584376,1.0127970749542963,0.9882747068676716,0.006118385626439739
126,0.53,60.0,56.0,5.28,5.32,3.18,3.0,4.0,2.0,1.0,0.9924812030075187,0.9333333333333333,0.005933394091288828
127,1.25,60.9,60.0,6.93,6.97,4.23,5.0,6.0,6.0,1.0,0.994261119081779,0.9852216748768473,0.006117917735081467
128,1.0,62.7,57.0,6.39,6.49,4.04,5.0,6.0,3.0,1.0051791109192922,0.9845916795069337,0.9090909090909091,0.005968608319413943
129,1.06,61.6,57.0,6.53,6.58,4.04,5.0,2.0,4.0,1.0,0.9924012158054711,0.9253246753246753,0.0061064024731252615
130,1.21,62.0,57.0,6.81,6.83,4.23,5.0,7.0,2.0,1.0310746655157532,0.9970717423133235,0.9193548387096774,0.006150029335385796
131,1.0,57.8,61.0,6.54,6.58,3.79,2.0,1.0,2.0,1.0401381096245144,0.9939209726443768,1.055363321799308,0.006131364684570594
132,1.04,61.5,61.0,6.56,6.51,4.02,4.0,4.0,5.0,1.0310746655157532,1.0076804915514592,0.991869918699187,0.006057904997510668
133,0.36,61.7,56.0,4.57,4.6,2.83,5.0,4.0,8.0,1.0360379801467414,0.9934782608695654,0.9076175040518638,0.006051207333525404
134,1.0,65.5,55.0,6.3,6.25,4.11,1.0,1.0,5.0,1.048769961156668,1.008,0.8396946564885496,0.006179276252268952
135,0.43,62.1,56.0,4.87,4.83,3.01,5.0,6.0,4.0,1.0548122572291756,1.0082815734989647,0.9017713365539453,0.006073315854330305
136,0.33,61.5,59.4,4.45,4.49,2.75,3.0,4.0,4.0,1.0332326283987916,0.9910913140311804,0.9658536585365853,0.006005855709316583
137,1.0,61.6,61.0,6.38,6.35,3.92,4.0,4.0,6.0,1.0051791109192922,1.004724409448819,0.9902597402597403,0.0062967946292875505
138,0.3,61.4,54.0,4.33,4.37,2.67,5.0,3.0,5.0,1.048769961156668,0.9908466819221968,0.8794788273615636,0.005938006382050499
139,1.02,62.4,55.0,6.41,6.46,4.02,5.0,3.0,2.0,1.0358221838584376,0.9922600619195047,0.8814102564102564,0.006127503544760801
140,0.37,61.4,55.0,4.65,4.67,2.86,5.0,2.0,8.0,1.0561070349589987,0.9957173447537474,0.8957654723127036,0.0059575247804853374
141,0.41,62.3,56.0,4.77,4.73,2.96,5.0,2.0,6.0,1.0332326283987916,1.0084566596194502,0.8988764044943821,0.006139211931225972
142,0.81,61.9,55.0,5.98,6.01,3.71,5.0,6.0,3.0,1.0561070349589987,0.9950083194675542,0.8885298869143781,0.006074848523652063
143,0.9,62.2,57.0,6.17,6.14,3.83,5.0,1.0,8.0,1.0310746655157532,1.004885993485342,0.9163987138263665,0.006202834593407018
144,0.31,61.2,60.0,4.39,4.37,2.68,4.0,4.0,5.0,1.0358221838584376,1.0045766590389016,0.9803921568627451,0.006029495044960972
145,1.28,61.7,60.0,7.05,6.95,4.32,4.0,2.0,4.0,1.0561070349589987,1.014388489208633,0.972447325769854,0.006047171718889664
146,2.14,62.2,57.0,8.22,8.19,5.1,5.0,2.0,4.0,1.0017263703064307,1.0036630036630039,0.9163987138263665,0.006232867260489989
147,1.03,60.9,60.0,6.52,6.45,3.95,4.0,5.0,3.0,1.0017263703064307,1.0108527131782945,0.9852216748768473,0.0062005871895868675
148,0.74,61.4,57.0,5.82,5.84,3.58,3.0,7.0,2.0,1.0699179974104445,0.9965753424657535,0.9283387622149837,0.006081530110345912
149,0.7,62.4,58.0,5.64,5.68,3.53,3.0,2.0,2.0,1.0310746655157532,0.9929577464788732,0.9294871794871795,0.006190074770443731
150,0.96,62.0,56.0,6.3,6.34,3.92,5.0,2.0,1.0,1.048769961156668,0.9936908517350158,0.9032258064516129,0.006131339421753378
151,0.53,61.7,58.0,5.16,5.27,3.22,5.0,6.0,4.0,1.0017263703064307,0.9791271347248578,0.940032414910859,0.006052846788606177
152,1.63,59.7,62.0,7.73,7.65,4.59,4.0,5.0,3.0,1.0,1.0104575163398692,1.0385259631490786,0.006005290071076292
153,0.81,63.7,57.0,5.86,5.94,3.76,3.0,6.0,2.0,1.0401381096245144,0.9865319865319865,0.8948194662480377,0.0061888949769277985
154,0.37,61.6,60.0,4.61,4.58,2.83,4.0,2.0,4.0,1.0388433318946915,1.0065502183406114,0.974025974025974,0.006192255750739547
155,2.0,63.0,59.0,7.94,8.07,5.04,3.0,3.0,2.0,1.0360379801467414,0.9838909541511772,0.9365079365079365,0.006193061917688064
156,1.21,64.0,59.0,6.78,6.73,4.32,2.0,4.0,1.0,1.0401381096245144,1.0074294205052006,0.921875,0.006138423748561071
157,0.7,62.6,57.0,5.63,5.68,3.54,5.0,6.0,4.0,1.0310746655157532,0.9911971830985916,0.9105431309904153,0.006183552428962996
158,1.01,61.5,60.0,6.4,6.34,3.92,4.0,3.0,2.0,1.0332326283987916,1.0094637223974765,0.975609756097561,0.006349888141376425
159,0.36,62.0,54.0,4.6,4.62,2.86,5.0,7.0,4.0,1.048769961156668,0.9956709956709956,0.8709677419354839,0.005922930824116595
160,1.55,60.7,59.0,7.5,7.47,4.54,4.0,1.0,4.0,1.0017263703064307,1.0040160642570282,0.971993410214168,0.00609388115359136
161,1.25,60.7,56.0,6.97,6.99,4.24,5.0,6.0,4.0,1.0388433318946915,0.9971387696709585,0.9225700164744646,0.006051098223014163
162,0.33,60.3,58.0,4.47,4.49,2.7,4.0,7.0,3.0,1.0051791109192922,0.9955456570155901,0.9618573797678276,0.006089705795240839
163,0.26,62.3,57.0,4.09,4.06,2.54,5.0,6.0,6.0,1.048769961156668,1.0073891625615765,0.9149277688603532,0.0061643925906277154
164,1.04,59.6,59.0,6.56,6.59,3.92,3.0,6.0,3.0,1.0699179974104445,0.9954476479514416,0.9899328859060402,0.006137026778585895
165,1.02,62.0,56.0,6.43,6.48,4.0,5.0,7.0,6.0,1.0388433318946915,0.9922839506172838,0.9032258064516129,0.006120039168250676
166,0.71,61.5,56.0,5.74,5.78,3.54,5.0,4.0,5.0,1.048769961156668,0.9930795847750865,0.9105691056910569,0.006045265174620294
167,0.92,63.1,57.0,6.11,6.16,3.87,2.0,5.0,4.0,1.0699179974104445,0.9918831168831169,0.9033280507131537,0.0063161864250434255
168,0.71,59.2,59.0,5.9,5.85,3.48,4.0,7.0,5.0,1.0017263703064307,1.0085470085470087,0.9966216216216216,0.0059111397509994815
169,1.91,62.8,58.0,7.82,7.89,4.93,2.0,2.0,2.0,1.0561070349589987,0.9911280101394171,0.9235668789808917,0.006279176514207143
170,0.33,61.1,55.0,4.5,4.52,2.75,5.0,4.0,5.0,1.0548122572291756,0.9955752212389382,0.9001636661211129,0.005899705014749264
171,0.5,62.5,60.0,5.08,5.06,3.17,4.0,4.0,5.0,1.0017263703064307,1.0039525691699607,0.96,0.006136157706910993
172,1.13,59.4,62.0,6.83,6.78,4.04,4.0,6.0,2.0,1.0561070349589987,1.0073746312684366,1.043771043771044,0.0060401354923193635
173,0.51,63.8,58.0,5.06,5.09,3.24,3.0,4.0,8.0,1.0360379801467414,0.9941060903732809,0.9090909090909092,0.006111627363869612
174,1.01,61.6,56.0,6.46,6.43,3.97,5.0,4.0,4.0,1.0401381096245144,1.0046656298600312,0.9090909090909091,0.0061247360344890795
175,0.56,60.8,56.0,5.33,5.3,3.23,5.0,5.0,4.0,1.0358221838584376,1.0056603773584907,0.9210526315789475,0.0061373716946828555
176,1.01,62.4,56.0,6.36,6.4,3.98,5.0,2.0,3.0,1.0358221838584376,0.99375,0.8974358974358975,0.006234494010935177
177,0.7,61.5,58.0,5.67,5.71,3.5,3.0,6.0,6.0,1.0548122572291756,0.9929947460595446,0.943089430894309,0.006177472610630811
178,0.7,61.7,58.0,5.63,5.69,3.49,3.0,5.0,4.0,1.0310746655157532,0.9894551845342706,0.940032414910859,0.006261118908639031
179,0.96,59.2,61.0,6.42,6.36,3.78,4.0,3.0,2.0,1.0401381096245144,1.0094339622641508,1.0304054054054053,0.006219955670375937
180,0.9,63.1,56.0,6.18,6.12,3.88,3.0,5.0,2.0,1.0358221838584376,1.0098039215686274,0.8874801901743264,0.00613297065398074
181,0.64,56.71551200438401,59.0,5.77,5.74,3.26,2.0,6.0,2.0,1.0401381096245144,1.0052264808362368,1.0402797738198926,0.005927542388689183
182,0.31,61.8,54.0,4.33,4.37,2.69,5.0,5.0,8.0,1.0388433318946915,0.9908466819221968,0.8737864077669903,0.006090319556906069
183,0.51,62.7,58.0,5.05,5.09,3.18,3.0,4.0,5.0,1.0358221838584376,0.9921414538310412,0.9250398724082934,0.0062392716641275275
184,0.31,61.5,56.0,4.34,4.37,2.68,5.0,6.0,4.0,1.0401381096245144,0.9931350114416475,0.9105691056910569,0.006098959273589554
185,1.0,62.7,59.0,6.36,6.3,3.97,4.0,4.0,2.0,1.0561070349589987,1.0095238095238097,0.9409888357256778,0.006286542097577694
186,0.4,59.3,59.0,4.79,4.83,2.85,4.0,5.0,4.0,1.0051791109192922,0.9917184265010351,0.9949409780775718,0.006066420172848993
187,0.38,62.1,53.8,4.66,4.67,2.9,5.0,5.0,4.0,1.0358221838584376,0.9978586723768738,0.8663446054750402,0.00602119651315679
188,0.23,64.1,58.0,3.85,3.89,2.48,3.0,6.0,6.0,1.0388433318946915,0.9897172236503856,0.904836193447738,0.006192497277993587
