,carat,depth,table,x,y,z,cut,color,clarity,city,x/y,td,ad,cc
33,0.32,62.2,60.0,4.37,4.34,2.71,2.0,2.6457513110645907,1.7320508075688772,1.0699179974104445,1.0069124423963134,0.9646302250803858,0.0062260058005361284,0.5542562584220407
34,0.27,62.3,54.0,4.18,4.21,2.61,1.7320508075688772,2.6457513110645907,2.6457513110645907,1.0561070349589987,0.9928741092636579,0.8667736757624398,0.005878477756428018,0.7143528539874395
35,0.71,62.1,58.0,5.64,5.72,3.53,1.7320508075688772,2.23606797749979,1.7320508075688772,1.0,0.986013986013986,0.9339774557165861,0.006234598784776593,1.2297560733739028
36,1.5,64.9,61.0,7.14,7.09,4.62,1.0,1.4142135623730951,1.4142135623730951,1.0401381096245144,1.007052186177715,0.9399075500770415,0.0064136438008977155,2.121320343559643
37,0.9,64.0,61.0,6.0,5.96,3.83,1.4142135623730951,1.0,1.7320508075688772,1.048769961156668,1.0067114093959733,0.953125,0.0065712232989293285,1.5588457268119895
38,0.71,60.5,59.0,5.81,5.79,3.51,2.0,2.6457513110645907,1.7320508075688772,1.0,1.003454231433506,0.9752066115702479,0.0060130738283764905,1.2297560733739028
39,0.32,61.5,58.0,4.39,4.42,2.71,2.0,2.23606797749979,2.0,1.0388433318946915,0.9932126696832578,0.943089430894309,0.006085466806079641,0.64
40,0.23,62.4,59.0,3.91,3.94,2.45,1.7320508075688772,2.449489742783178,2.449489742783178,1.0561070349589987,0.9923857868020305,0.9455128205128205,0.0060938080816082775,0.5633826408401309
41,1.21,61.8,57.0,6.81,6.86,4.23,2.23606797749979,2.0,2.23606797749979,1.0548122572291756,0.9927113702623905,0.9223300970873787,0.006123134163365158,2.7056422527747457
42,0.31,60.3,57.0,4.41,4.44,2.67,1.7320508075688772,2.449489742783178,2.6457513110645907,1.0561070349589987,0.9932432432432432,0.945273631840796,0.005929647449176609,0.8201829064300231
43,0.61,60.1,60.3,5.47,5.5,3.29,1.4142135623730951,1.7320508075688772,2.23606797749979,1.0358221838584376,0.9945454545454545,1.0033277870216306,0.00616288297645021,1.3640014662748718
44,1.31,62.0,53.0,7.06,7.07,4.37,2.23606797749979,2.0,2.23606797749979,1.0388433318946915,0.9985855728429985,0.8548387096774194,0.006005729172220629,2.929249050524725
45,0.7,61.4,64.0,5.66,5.71,3.49,1.4142135623730951,2.449489742783178,1.7320508075688772,1.0310746655157532,0.9912434325744308,1.0423452768729642,0.006206118640738731,1.212435565298214
46,0.38,60.7,56.0,4.69,4.74,2.86,2.23606797749979,2.6457513110645907,2.0,1.0358221838584376,0.989451476793249,0.9225700164744646,0.00597676773758391,0.76
47,0.3,62.0,55.0,4.34,4.31,2.68,2.23606797749979,2.6457513110645907,2.0,1.0358221838584376,1.0069605568445477,0.8870967741935484,0.005984384108731312,0.6
48,0.53,63.7,55.0,5.12,5.15,3.27,1.4142135623730951,1.7320508075688772,1.7320508075688772,1.0310746655157532,0.9941747572815534,0.8634222919937206,0.0061468261037380114,0.9179869280115049
49,0.77,62.2,57.0,5.81,5.86,3.63,1.7320508075688772,1.7320508075688772,2.23606797749979,1.0401381096245144,0.9914675767918087,0.9163987138263665,0.006230319976773368,1.7217723426748381
50,0.34,61.1,56.0,4.52,4.55,2.77,2.23606797749979,2.23606797749979,1.7320508075688772,1.0360379801467414,0.9934065934065933,0.9165302782324058,0.005968281742218678,0.5888972745734183
51,1.01,61.8,59.0,6.41,6.37,3.95,2.0,1.7320508075688772,1.7320508075688772,1.0051791109192922,1.0062794348508635,0.9546925566343043,0.006262198305033725,1.749371315644566
52,0.71,59.6,60.0,5.8,5.85,3.47,1.7320508075688772,2.449489742783178,2.0,1.0360379801467414,0.9914529914529915,1.006711409395973,0.006030384645111863,1.42
53,1.21,61.1,55.0,6.87,6.85,4.19,2.23606797749979,2.23606797749979,1.7320508075688772,1.0561070349589987,1.0029197080291972,0.9001636661211129,0.006136546632010899,2.0957814771583414
54,1.21,61.5,57.0,6.93,6.88,4.25,2.0,2.23606797749979,1.4142135623730951,1.0401381096245144,1.007267441860465,0.926829268292683,0.005971380800382169,1.711198410471445
55,0.56,62.3,55.0,5.31,5.25,3.29,2.23606797749979,2.0,2.6457513110645907,1.0358221838584376,1.0114285714285713,0.882825040128411,0.006105739967983027,1.481620734196171
56,1.58,61.0,58.0,7.56,7.49,4.59,2.0,1.0,2.449489742783178,1.048769961156668,1.0093457943925233,0.9508196721311475,0.006079121006504213,3.870193793597421
57,0.53,60.5,57.0,5.24,5.28,3.18,2.23606797749979,2.449489742783178,2.449489742783178,1.0561070349589987,0.9924242424242424,0.9421487603305785,0.006023980260621481,1.2982295636750842
58,1.02,63.3,59.0,6.32,6.42,4.03,1.4142135623730951,2.449489742783178,1.4142135623730951,1.0017263703064307,0.9844236760124612,0.9320695102685624,0.0062379662292653655,1.4424978336205572
59,0.58,63.0,56.0,5.35,5.28,3.35,2.23606797749979,2.6457513110645907,2.449489742783178,1.0,1.0132575757575757,0.8888888888888888,0.006129082708800939,1.420704050814243
60,0.54,61.1,56.0,5.22,5.26,3.2,2.23606797749979,2.23606797749979,1.4142135623730951,1.0017263703064307,0.9923954372623575,0.9165302782324058,0.006145928936672348,0.7636753236814714
61,0.23,62.1,58.0,3.9,3.93,2.43,1.7320508075688772,2.449489742783178,2.6457513110645907,1.0401381096245144,0.9923664122137404,0.9339774557165861,0.006175390210825137,0.6085228015448559
62,1.01,60.0,59.0,6.53,6.48,3.9,2.0,2.6457513110645907,2.0,1.048769961156668,1.007716049382716,0.9833333333333333,0.006120241784696437,2.02
63,0.31,60.4,56.0,4.43,4.38,2.66,2.23606797749979,2.449489742783178,2.8284271247461903,1.0051791109192922,1.0114155251141552,0.9271523178807948,0.006006233617997807,0.8768124086713189
64,1.52,61.9,58.0,7.37,7.42,4.58,2.0,1.4142135623730951,1.7320508075688772,1.0332326283987916,0.9932614555256065,0.9369951534733442,0.006068854379005034,2.6327172275046933
65,2.02,61.5,59.0,8.08,8.21,5.01,1.7320508075688772,1.7320508075688772,2.0,1.0358221838584376,0.9841656516443361,0.959349593495935,0.0060779780268938365,4.04
66,0.36,60.7,58.0,4.62,4.57,2.79,2.0,2.23606797749979,2.23606797749979,1.0358221838584376,1.0109409190371992,0.9555189456342669,0.006111391725847856,0.8049844718999243
67,2.01,60.8,57.0,8.15,8.13,4.95,2.23606797749979,1.0,1.4142135623730951,1.0051791109192922,1.002460024600246,0.9375,0.006128337914723263,2.842569260369921
68,1.01,59.1,59.0,6.5,6.59,3.87,1.7320508075688772,1.7320508075688772,2.23606797749979,1.0,0.9863429438543247,0.9983079526226734,0.006092725858403241,2.258428657274788
69,1.08,61.3,57.0,6.59,6.62,4.05,2.23606797749979,2.0,2.8284271247461903,1.0051791109192922,0.9954682779456193,0.9298531810766721,0.0061125908674836155,3.0547012947258856
70,0.33,61.4,58.0,4.46,4.5,2.75,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.0401381096245144,0.991111111111111,0.9446254071661238,0.005979073243647235,0.5715767664977295
71,0.31,62.2,58.0,4.34,4.38,2.71,2.0,2.0,2.23606797749979,1.0310746655157532,0.9908675799086758,0.932475884244373,0.006017672701188851,0.6931810730249348
72,0.4,61.1,61.0,4.76,4.7,2.89,2.0,2.0,1.7320508075688772,1.0548122572291756,1.0127659574468084,0.9983633387888707,0.0061866755094881955,0.6928203230275509
73,0.48,62.1,56.0,5.01,5.04,3.12,2.23606797749979,1.4142135623730951,2.449489742783178,1.0388433318946915,0.994047619047619,0.9017713365539453,0.0060928204640779485,1.1757550765359253
74,1.0,62.7,57.0,6.44,6.38,4.02,2.23606797749979,2.23606797749979,1.7320508075688772,1.0561070349589987,1.0094043887147337,0.9090909090909091,0.006054348286217426,1.7320508075688772
75,0.51,62.7,55.0,5.08,5.1,3.19,2.23606797749979,2.0,2.449489742783178,1.0017263703064307,0.9960784313725491,0.8771929824561403,0.0061708587367018,1.2492397688194208
76,1.2,61.1,59.0,6.81,6.87,4.18,1.7320508075688772,2.23606797749979,2.0,1.048769961156668,0.9912663755458515,0.9656301145662848,0.006136222733349121,2.4
77,1.51,63.3,56.0,7.3,7.26,4.61,1.7320508075688772,2.449489742783178,2.0,1.0,1.0055096418732783,0.8846761453396524,0.006180399391324799,3.02
78,0.71,61.6,53.0,5.79,5.73,3.55,2.23606797749979,2.449489742783178,1.7320508075688772,1.0548122572291756,1.0104712041884816,0.8603896103896104,0.006028327109085593,1.2297560733739028
79,1.01,63.1,55.0,6.34,6.37,4.01,1.7320508075688772,2.0,2.23606797749979,1.0358221838584376,0.9952904238618524,0.8716323296354992,0.0062366060394873,2.258428657274788
80,1.51,61.8,59.0,7.32,7.27,4.51,2.0,1.7320508075688772,2.23606797749979,1.0332326283987916,1.0068775790921596,0.9546925566343043,0.00629151032263515,3.3764626460246827
81,0.58,61.2,57.0,5.36,5.39,3.29,2.23606797749979,2.23606797749979,2.23606797749979,1.0401381096245144,0.9944341372912803,0.9313725490196078,0.006102089043871664,1.296919426949878
82,1.62,61.7,56.0,7.53,7.57,4.66,2.23606797749979,2.0,2.0,1.0401381096245144,0.9947159841479525,0.9076175040518638,0.0060987136435068316,3.24
83,1.02,62.8,59.0,6.44,6.39,4.03,2.0,2.449489742783178,2.0,1.0051791109192922,1.0078247261345854,0.9394904458598726,0.006150471354034951,2.04
84,0.34,61.8,56.0,4.47,4.49,2.77,2.23606797749979,2.23606797749979,2.449489742783178,1.0310746655157532,0.9955456570155901,0.9061488673139159,0.006115687474052173,0.8328265125462805
85,1.51,63.7,61.0,7.15,7.11,4.54,1.4142135623730951,1.4142135623730951,1.7320508075688772,1.0332326283987916,1.0056258790436006,0.9576138147566718,0.006542525920209519,2.6153967194290044
86,0.34,61.9,56.0,4.47,4.51,2.78,2.23606797749979,2.449489742783178,2.6457513110645907,1.0561070349589987,0.991130820399113,0.9046849757673667,0.006066665588941369,0.8995554457619609
87,1.7,61.9,60.0,7.57,7.61,4.7,1.7320508075688772,1.7320508075688772,2.0,1.0358221838584376,0.9947437582128777,0.9693053311793215,0.006278711485783575,3.4
88,1.57,60.2,60.0,7.49,7.43,4.49,2.0,2.23606797749979,1.4142135623730951,1.0388433318946915,1.0080753701211307,0.9966777408637874,0.006283225984150591,2.2203152929257595
89,1.75,60.3,61.0,7.74,7.82,4.69,1.7320508075688772,2.449489742783178,1.7320508075688772,1.0561070349589987,0.989769820971867,1.0116086235489221,0.006164778715514597,3.031088913245535
90,1.13,61.8,57.0,6.71,6.68,4.14,2.23606797749979,2.23606797749979,1.4142135623730951,1.0051791109192922,1.0044910179640718,0.9223300970873787,0.00608946473454094,1.5980613254815974
91,0.41,61.7,56.0,4.8,4.77,2.95,2.23606797749979,2.0,2.8284271247461903,1.0548122572291756,1.0062893081761006,0.9076175040518638,0.006070189153016143,1.159655121145938
92,0.34,62.1,54.0,4.48,4.5,2.79,2.23606797749979,2.0,2.8284271247461903,1.0358221838584376,0.9955555555555556,0.8695652173913043,0.006044831313648517,0.9616652224137048
93,0.31,61.2,56.0,4.39,4.37,2.68,2.23606797749979,2.23606797749979,2.449489742783178,1.0360379801467414,1.0045766590389016,0.9150326797385621,0.006029495044960972,0.7593418202627852
94,2.535418909822108,65.5,59.0,9.857034940091843,9.915124776905465,6.2481910114039305,1.0,1.0,1.0,1.0017263703064307,0.9941412903901193,0.9007633587786259,0.004151938838694201,2.535418909822108
95,0.23,56.428450102288004,62.0,4.1,4.11,2.31,1.4142135623730951,2.449489742783178,2.6457513110645907,1.0,0.9975669099756689,1.0987365395932802,0.005908676017274914,0.6085228015448559
96,1.52,61.8,59.0,7.38,7.31,4.54,2.0,2.449489742783178,2.0,1.0051791109192922,1.009575923392613,0.9546925566343043,0.006206031795819987,3.04
97,2.04,62.8,57.0,8.09,8.02,5.06,2.23606797749979,1.4142135623730951,1.7320508075688772,1.0401381096245144,1.0087281795511223,0.9076433121019108,0.006213792702051552,3.5333836474405094
98,1.65,62.0,56.0,7.53,7.59,4.68,1.7320508075688772,1.7320508075688772,2.23606797749979,1.0310746655157532,0.9920948616600791,0.9032258064516129,0.006168809217484084,3.689512162874653
99,0.3,63.1,58.0,4.28,4.24,2.69,1.7320508075688772,2.0,2.23606797749979,1.0332326283987916,1.009433962264151,0.919175911251981,0.006145530085565443,0.6708203932499369
100,0.67,60.4,65.0,5.67,5.65,3.42,1.4142135623730951,2.449489742783178,2.23606797749979,1.0358221838584376,1.0035398230088495,1.076158940397351,0.006115291871471899,1.4981655449248592
101,0.3,61.4,55.0,4.38,4.32,2.67,2.23606797749979,2.0,2.23606797749979,1.0699179974104445,1.0138888888888888,0.8957654723127036,0.0059381632928398095,0.6708203932499369
102,0.34,61.9,56.0,4.49,4.46,2.77,2.0,1.7320508075688772,2.0,1.0699179974104445,1.0067264573991033,0.9046849757673667,0.006129399777805652,0.68
103,0.27,61.8,56.0,4.15,4.17,2.57,2.23606797749979,1.7320508075688772,2.0,1.0401381096245144,0.9952038369304558,0.9061488673139159,0.006070807879503907,0.54
104,0.5,61.5,54.0,5.13,5.15,3.16,2.23606797749979,1.4142135623730951,1.7320508075688772,1.0548122572291756,0.9961165048543689,0.8780487804878049,0.005989055360671693,0.8660254037844386
105,0.51,61.7,58.0,5.12,5.15,3.17,2.0,2.449489742783178,2.0,1.0358221838584376,0.9941747572815534,0.940032414910859,0.006101459373372944,1.02
106,0.46,62.4,56.0,4.95,4.98,3.1,2.23606797749979,2.6457513110645907,2.0,1.0332326283987916,0.9939759036144578,0.8974358974358975,0.006019516318777881,0.92
107,0.32,61.6,55.0,4.44,4.42,2.73,2.0,1.7320508075688772,2.449489742783178,1.0310746655157532,1.0045248868778283,0.8928571428571428,0.005972856651589684,0.7838367176906169
108,0.48,60.6,62.0,5.06,5.0,3.05,2.0,2.23606797749979,1.7320508075688772,1.0051791109192922,1.012,1.023102310231023,0.006220436726495173,0.831384387633061
109,0.31,61.6,55.0,4.36,4.37,2.69,2.23606797749979,2.23606797749979,2.0,1.0358221838584376,0.9977116704805492,0.8928571428571428,0.006048413688395249,0.62
110,0.3,59.7,63.0,4.32,4.35,2.59,1.4142135623730951,2.449489742783178,2.0,1.0,0.9931034482758622,1.0552763819095476,0.006163799267247545,0.6
111,0.43,61.0,58.0,4.92,4.89,2.99,2.0,2.0,2.23606797749979,1.0699179974104445,1.0061349693251533,0.9508196721311475,0.0059775512091251575,0.9615092303249096
112,0.7,63.8,57.0,5.58,5.55,3.55,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,1.0054054054054054,0.8934169278996865,0.006367112228084514,0.9899494936611666
113,0.5,61.3,57.0,5.13,5.15,3.15,2.23606797749979,2.449489742783178,2.0,1.0017263703064307,0.9961165048543689,0.9298531810766721,0.006008068234832556,1.0
114,0.6,65.7,55.0,5.31,5.23,3.46,1.0,2.0,1.7320508075688772,1.0548122572291756,1.0152963671128106,0.837138508371385,0.006244230721078144,1.0392304845413263
115,1.05,60.8,56.0,6.62,6.58,4.01,2.23606797749979,1.7320508075688772,1.7320508075688772,1.048769961156668,1.006079027355623,0.9210526315789475,0.006011198140792519,1.818653347947321
116,1.02,60.1,60.0,6.58,6.53,3.94,2.0,2.23606797749979,1.7320508075688772,1.0561070349589987,1.007656967840735,0.9983361064891847,0.006025108541148975,1.7666918237202547
117,2.28,62.9,57.0,8.41,8.34,5.27,2.23606797749979,1.4142135623730951,1.4142135623730951,1.0561070349589987,1.0083932853717026,0.9062003179650239,0.006168253095371436,3.224406922210657
118,0.27,59.5,56.0,4.2,4.31,2.53,1.7320508075688772,2.449489742783178,2.0,1.0332326283987916,0.9744779582366591,0.9411764705882353,0.005895446226324871,0.54
119,2.0,62.0,57.0,8.03,8.1,5.0,2.23606797749979,2.23606797749979,1.4142135623730951,1.0561070349589987,0.991358024691358,0.9193548387096774,0.0061497778392755565,2.8284271247461903
120,0.5,64.6,58.0,5.01,4.99,3.23,1.0,2.23606797749979,2.0,1.0332326283987916,1.0040080160320641,0.8978328173374613,0.006191975232297213,1.0
121,0.5,62.0,58.0,5.03,5.1,3.14,2.0,2.23606797749979,2.23606797749979,1.0310746655157532,0.9862745098039217,0.9354838709677419,0.006207292277309044,1.118033988749895
122,0.45,61.7,63.0,4.88,4.91,3.02,1.4142135623730951,2.449489742783178,2.23606797749979,1.0388433318946915,0.9938900203665987,1.0210696920583469,0.006218766590287315,1.0062305898749055
123,0.26,60.1,60.0,4.1,4.15,2.48,2.0,2.449489742783178,2.23606797749979,1.0017263703064307,0.9879518072289155,0.9983361064891847,0.006161546263733138,0.5813776741499453
124,0.3,58.8,57.0,4.44,4.4,2.6,2.0,2.6457513110645907,1.7320508075688772,1.0561070349589987,1.009090909090909,0.9693877551020409,0.0059062559062559045,0.5196152422706631
125,0.61,59.7,59.0,5.54,5.47,3.29,2.23606797749979,1.0,2.0,1.0358221838584376,1.0127970749542963,0.9882747068676716,0.006118385626439739,1.22
126,0.53,60.0,56.0,5.28,5.32,3.18,1.7320508075688772,2.0,1.4142135623730951,1.0,0.9924812030075187,0.9333333333333333,0.005933394091288828,0.7495331880577405
127,1.25,60.9,60.0,6.93,6.97,4.23,2.23606797749979,2.449489742783178,2.449489742783178,1.0,0.994261119081779,0.9852216748768473,0.006117917735081467,3.0618621784789726
128,1.0,62.7,57.0,6.39,6.49,4.04,2.23606797749979,2.449489742783178,1.7320508075688772,1.0051791109192922,0.9845916795069337,0.9090909090909091,0.005968608319413943,1.7320508075688772
129,1.06,61.6,57.0,6.53,6.58,4.04,2.23606797749979,1.4142135623730951,2.0,1.0,0.9924012158054711,0.9253246753246753,0.0061064024731252615,2.12
130,1.21,62.0,57.0,6.81,6.83,4.23,2.23606797749979,2.6457513110645907,1.4142135623730951,1.0310746655157532,0.9970717423133235,0.9193548387096774,0.006150029335385796,1.711198410471445
131,1.0,57.8,61.0,6.54,6.58,3.79,1.4142135623730951,1.0,1.4142135623730951,1.0401381096245144,0.9939209726443768,1.055363321799308,0.006131364684570594,1.4142135623730951
132,1.04,61.5,61.0,6.56,6.51,4.02,2.0,2.0,2.23606797749979,1.0310746655157532,1.0076804915514592,0.991869918699187,0.006057904997510668,2.3255106965997814
133,0.36,61.7,56.0,4.57,4.6,2.83,2.23606797749979,2.0,2.8284271247461903,1.0360379801467414,0.9934782608695654,0.9076175040518638,0.006051207333525404,1.0182337649086284
134,1.0,65.5,55.0,6.3,6.25,4.11,1.0,1.0,2.23606797749979,1.048769961156668,1.008,0.8396946564885496,0.006179276252268952,2.23606797749979
135,0.43,62.1,56.0,4.87,4.83,3.01,2.23606797749979,2.449489742783178,2.0,1.0548122572291756,1.0082815734989647,0.9017713365539453,0.006073315854330305,0.86
136,0.33,61.5,59.4,4.45,4.49,2.75,1.7320508075688772,2.0,2.0,1.0332326283987916,0.9910913140311804,0.9658536585365853,0.006005855709316583,0.66
137,1.0,61.6,61.0,6.38,6.35,3.92,2.0,2.0,2.449489742783178,1.0051791109192922,1.004724409448819,0.9902597402597403,0.0062967946292875505,2.449489742783178
138,0.3,61.4,54.0,4.33,4.37,2.67,2.23606797749979,1.7320508075688772,2.23606797749979,1.048769961156668,0.9908466819221968,0.8794788273615636,0.005938006382050499,0.6708203932499369
139,1.02,62.4,55.0,6.41,6.46,4.02,2.23606797749979,1.7320508075688772,1.4142135623730951,1.0358221838584376,0.9922600619195047,0.8814102564102564,0.006127503544760801,1.4424978336205572
140,0.37,61.4,55.0,4.65,4.67,2.86,2.23606797749979,1.4142135623730951,2.8284271247461903,1.0561070349589987,0.9957173447537474,0.8957654723127036,0.0059575247804853374,1.0465180361560904
141,0.41,62.3,56.0,4.77,4.73,2.96,2.23606797749979,1.4142135623730951,2.449489742783178,1.0332326283987916,1.0084566596194502,0.8988764044943821,0.006139211931225972,1.0042907945411028
142,0.81,61.9,55.0,5.98,6.01,3.71,2.23606797749979,2.449489742783178,1.7320508075688772,1.0561070349589987,0.9950083194675542,0.8885298869143781,0.006074848523652063,1.4029611541307907
143,0.9,62.2,57.0,6.17,6.14,3.83,2.23606797749979,1.0,2.8284271247461903,1.0310746655157532,1.004885993485342,0.9163987138263665,0.006202834593407018,2.5455844122715714
144,0.31,61.2,60.0,4.39,4.37,2.68,2.0,2.0,2.23606797749979,1.0358221838584376,1.0045766590389016,0.9803921568627451,0.006029495044960972,0.6931810730249348
145,1.28,61.7,60.0,7.05,6.95,4.32,2.0,1.4142135623730951,2.0,1.0561070349589987,1.014388489208633,0.972447325769854,0.006047171718889664,2.56
146,2.14,62.2,57.0,8.22,8.19,5.1,2.23606797749979,1.4142135623730951,2.0,1.0017263703064307,1.0036630036630039,0.9163987138263665,0.006232867260489989,4.28
147,1.03,60.9,60.0,6.52,6.45,3.95,2.0,2.23606797749979,1.7320508075688772,1.0017263703064307,1.0108527131782945,0.9852216748768473,0.0062005871895868675,1.7840123317959435
148,0.74,61.4,57.0,5.82,5.84,3.58,1.7320508075688772,2.6457513110645907,1.4142135623730951,1.0699179974104445,0.9965753424657535,0.9283387622149837,0.006081530110345912,1.0465180361560904
149,0.7,62.4,58.0,5.64,5.68,3.53,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.0310746655157532,0.9929577464788732,0.9294871794871795,0.006190074770443731,0.9899494936611666
150,0.96,62.0,56.0,6.3,6.34,3.92,2.23606797749979,1.4142135623730951,1.0,1.048769961156668,0.9936908517350158,0.9032258064516129,0.006131339421753378,0.96
151,0.53,61.7,58.0,5.16,5.27,3.22,2.23606797749979,2.449489742783178,2.0,1.0017263703064307,0.9791271347248578,0.940032414910859,0.006052846788606177,1.06
